description,observation_source_concept_id,observation_source_concept_name,observation_concept_id,concept_name
OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W CC/MCC,0,,38001475,Other female reproductive system O.R. procedures w CC/MCC
Other Female Reproductive System & Related Procedures,0,,0,
OTHER HEART ASSIST SYSTEM IMPLANT,38000831,Other Heart Assist System Implant,38001055,Other heart assist system implant
OTHER HEPATOBILIARY OR PANCREAS OPERATING ROOM PROCEDURES,38000499,Other Hepatobiliary or Pancreas Operating Room Procedures,38001226,Other hepatobiliary or pancreas O.R. procedures w/o CC/MCC
OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W CC,0,,38001225,Other hepatobiliary or pancreas O.R. procedures w CC
OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC,0,,38001224,Other hepatobiliary or pancreas O.R. procedures w MCC
"Other Hepatobiliary, Pancreas & Abdominal Procedures",0,,0,
Other Infectious & Parasitic Diseases,38000721,Other Infectious and Parasitic Diseases Diagnoses,,
OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES,38000721,Other Infectious and Parasitic Diseases Diagnoses,,
OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W CC,0,,38001561,Other infectious & parasitic diseases diagnoses w CC
OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W MCC,0,,38001560,Other infectious & parasitic diseases diagnoses w MCC
OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W/O CC/MCC,0,,38001562,Other infectious & parasitic diseases diagnoses w/o CC/MCC
"Other Injury, Poisoning & Toxic Effect Diagnoses",0,,0,
"OTHER INJURY, POISONING & TOXIC EFFECT DIAGNOSES WITH COMPLICATIONS, COMORBIDITIES",38000752,"Other Injury, Poisoning and Toxic Effect Diagnoses with Complications, Comorbidities",,
"OTHER INJURY, POISONING & TOXIC EFFECT DIAGNOSES WITHOUT COMPLICATIONS, COMORBIDITIES",38000753,"Other Injury, Poisoning and Toxic Effect Diagnoses without Complications, Comorbidities",,
"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W MCC",0,,38001597,"Other injury, poisoning & toxic effect diag w MCC"
"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC",0,,38001598,"Other injury, poisoning & toxic effect diag w/o MCC"
OTHER KIDNEY & URINARY TRACT DIAGNOSES AGE 0-17,38000631,Other Kidney and Urinary Tract Diagnoses Age 0-17,,
"OTHER KIDNEY & URINARY TRACT DIAGNOSES AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000629,"Other Kidney and Urinary Tract Diagnoses Age >17 with Complications, Comorbidities",,
"Other Kidney & Urinary Tract Diagnoses, Signs & Symptoms",0,,0,
OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,0,,38001437,Other kidney & urinary tract diagnoses w CC
OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,0,,38001436,Other kidney & urinary tract diagnoses w MCC
OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,0,,38001438,Other kidney & urinary tract diagnoses w/o CC/MCC
OTHER KIDNEY & URINARY TRACT OPERATING ROOM PROCEDURES,38000613,Other Kidney and Urinary Tract Operating Room Procedures,,
OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,0,,38001418,Other kidney & urinary tract procedures w CC
OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,0,,38001417,Other kidney & urinary tract procedures w MCC
OTHER KIDNEY & URINARY TRACT PROCEDURES W/O CC/MCC,0,,38001419,Other kidney & urinary tract procedures w/o CC/MCC
"Other Kidney, Urinary Tract & Related Procedures",0,,0,
Other Major Head & Neck Procedures,0,,0,
OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W/O CC/MCC,0,,38001459,Other male reproductive system diagnoses w/o CC/MCC
OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W CC/MCC,0,,38001449,Other male reproductive system O.R. proc exc malignancy w CC/MCC
OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W/O CC/MCC,0,,38001450,Other male reproductive system O.R. proc exc malignancy w/o CC/MCC
Other Male Reproductive System & Related Procedures,0,,0,
OTHER MENTAL DISORDER DIAGNOSES,38000731,Other Mental Disorder Diagnoses,,
Other Mental Health Disorders,38000731,Other Mental Disorder Diagnoses,,
OTHER MULTIPLE SIGNIFICANT TRAUMA,38000787,Other Multiple Significant Trauma,,
OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,0,,38001621,Other multiple significant trauma w CC
OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC,0,,38001620,Other multiple significant trauma w MCC
OTHER MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,0,,38001622,Other multiple significant trauma w/o CC/MCC
OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,0,,38001339,Other musculoskeletal sys & connective tissue diagnoses w CC
OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC,0,,38001338,Other musculoskeletal sys & connective tissue diagnoses w MCC
OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,0,,38001340,Other musculoskeletal sys & connective tissue diagnoses w/o CC/MCC
OTHER MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE DIAGNOSIS,38000554,Other Musculoskeletal System and Connective Tissue Diagnosis,,
Other Musculoskeletal System & Connective Tissue Diagnoses,38000554,Other Musculoskeletal System and Connective Tissue Diagnosis,,
"OTHER MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE OPERATING ROOM PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000531,"Other Musculoskeletal System and Connective Tissue Operating Room Procedures with Complications, Comorbidities",,
"OTHER MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE OPERATING ROOM PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES",38000532,"Other Musculoskeletal System and Connective Tissue Operating Room Procedures without Complications, Comorbidities",,
Other Musculoskeletel System & Connective Tissue Procedures,0,,0,
OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,0,,38001305,Other musculoskelet sys & conn tiss O.R. proc w CC
OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,0,,38001304,Other musculoskelet sys & conn tiss O.R. proc w MCC
OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,0,,38001306,Other musculoskelet sys & conn tiss O.R. proc w/o CC/MCC
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W CC,0,,38001543,Other myeloprolif dis or poorly diff neopl diag w CC
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,0,,38001542,Other myeloprolif dis or poorly diff neopl diag w MCC
"OTHER MYELOPROLIFERATIVE DISEASES OR POORLY DIFFUSED NEOPLASM DIAGNOSES WITH COMPLICATIONS, COMORBIDITIES",38000711,"Other Myeloproliferative Diseases or Poorly Diffused Neoplasm Diagnoses with Complications, Comorbidities",,
"OTHER MYELOPROLIFERATIVE DISEASES OR POORLY DIFFUSED NEOPLASM DIAGNOSES WITHOUT COMPLICATIONS, COMORBIDITIES",38000712,"Other Myeloproliferative Diseases or Poorly Diffused Neoplasm Diagnoses without Complications, Comorbidities",,
"OTHER OPERATING ROOM PROCEDURES FOR INJURIES WITH COMPLICATIONS, COMORBIDITIES",38000740,"Other Operating Room Procedures For Injuries with Complications, Comorbidities",,
"OTHER OPERATING ROOM PROCEDURES FOR INJURIES WITHOUT COMPLICATIONS, COMORBIDITIES",38000741,"Other Operating Room Procedures For Injuries without Complications, Comorbidities",,
OTHER OPERATING ROOM PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA,38000786,Other Operating Room Procedures For Multiple Significant Trauma,,
OTHER OPERATING ROOM PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS,38000692,Other Operating Room Procedures of The Blood and Blood Forming Organs,,
OTHER O.R. PROCEDURES FOR INJURIES W CC,0,,38001586,Other O.R. procedures for injuries w CC
OTHER O.R. PROCEDURES FOR INJURIES W MCC,0,,38001585,Other O.R. procedures for injuries w MCC
OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC,0,,38001587,Other O.R. procedures for injuries w/o CC/MCC
OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC,0,,38001618,Other O.R. procedures for multiple significant trauma w CC
OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W MCC,0,,38001617,Other O.R. procedures for multiple significant trauma w MCC
OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,0,,38001619,Other O.R. procedures for multiple significant trauma w/o CC/MCC
Other O.R. Proc For Obstetric Diagnoses Except Delivery Diagnoses,0,,0,
OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W CC,0,,38001511,Other O.R. proc of the blood & blood forming organs w CC
OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W MCC,0,,38001510,Other O.R. proc of the blood & blood forming organs w MCC
OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W/O CC/MCC,0,,38001512,Other O.R. proc of the blood & blood forming organs w/o CC/MCC
OTHER PERMANENT CARDIAC PACEMAKER IMPLANT OR PTCA WITH CORONARY ARTERY STENT IMPLANT,38000411,Other Permanent Cardiac Pacemaker Implant or Ptca with Coronary Artery Stent Implant,,
OTHER PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT MCV DIAGNOSIS,38000859,Other Permanent Cardiac Pacemaker Implant without Mcv Diagnosis,38001084,Permanent cardiac pacemaker implant w/o CC/MCC
Other Pneumonia,0,,0,
"Other Procedures for Endocrine, Nutrititional & Metabolic Disorders",0,,0,
Other Procedures of Blood & Blood Forming Organs,0,,0,
Other Respiratory & Chest Procedures,0,,0,
"Other Respiratory Diagnosis Except Signs, Symptoms & Minor Diagnoses",0,,0,
"OTHER RESPIRATORY SYSTEM DIAGNOSES WITH COMPLICATIONS, COMORBIDITIES",38000389,"Other Respiratory System Diagnoses with Complications, Comorbidities",38001051,Other respiratory system diagnoses w MCC
"OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT COMPLICATIONS, COMORBIDITIES",38000390,"Other Respiratory System Diagnoses without Complications, Comorbidities",38001052,Other respiratory system diagnoses w/o MCC
OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,0,,38001051,Other respiratory system diagnoses w MCC
OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,0,,38001052,Other respiratory system diagnoses w/o MCC
"OTHER RESPIRATORY SYSTEM OPERATING ROOM PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000364,"Other Respiratory System Operating Room Procedures with Complications, Comorbidities",38001018,Other resp system O.R. procedures w MCC
"OTHER RESPIRATORY SYSTEM OPERATING ROOM PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES",38000365,"Other Respiratory System Operating Room Procedures without Complications, Comorbidities",38001020,Other resp system O.R. procedures w/o CC/MCC
OTHER RESP SYSTEM O.R. PROCEDURES W CC,0,,38001019,Other resp system O.R. procedures w CC
OTHER RESP SYSTEM O.R. PROCEDURES W MCC,0,,38001018,Other resp system O.R. procedures w MCC
OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,0,,38001020,Other resp system O.R. procedures w/o CC/MCC
"Other Skin, Subcutaneous Tissue & Breast Disorders",0,,0,
"OTHER SKIN, SUBCUTANEOUS TISSUE & BREAST PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000567,"Other Skin, Subcutaneous Tissue and Breast Procedures with Complications, Comorbidities",,
"OTHER SKIN, SUBCUTANEOUS TISSUE & BREAST PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES",38000568,"Other Skin, Subcutaneous Tissue and Breast Procedures without Complications, Comorbidities",,
"Other Skin, Subcutaneous Tissue & Related Procedures",0,,0,
"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC",0,,38001348,"Other skin, subcut tiss & breast proc w CC"
"OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC",0,,38001347,"Other skin, subcut tiss & breast proc w MCC"
"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC",0,,38001349,"Other skin, subcut tiss & breast proc w/o CC/MCC"
Other & Unspecified Gastrointestinal Hemorrhage,0,,0,
Other Vascular Procedures,0,,0,
OTHER VASCULAR PROCEDURES W CC,0,,38001095,Other vascular procedures w CC
OTHER VASCULAR PROCEDURES WITH COMPLICATIONS AND COMORBIDITIES,38000860,Other Vascular Procedures with Complications and Comorbidities,38001095,Other vascular procedures w CC
"OTHER VASCULAR PROCEDURES WITH COMPLICATIONS, CORMORBIDITIES",38000775,"Other Vascular Procedures with Complications, Cormorbidities",,
OTHER VASCULAR PROCEDURES WITHOUT COMPLICATIONS AND COMORBIDITIES,38000861,Other Vascular Procedures without Complications and Comorbidities,38001096,Other vascular procedures w/o CC/MCC
"OTHER VASCULAR PROCEDURES WITHOUT COMPLICATIONS, CORMORBIDITIES",38000776,"Other Vascular Procedures without Complications, Cormorbidities",38001094,Other vascular procedures w MCC
OTHER VASCULAR PROCEDURES W MCC,0,,38001094,Other vascular procedures w MCC
OTHER VASCULAR PROCEDURES W/O CC/MCC,0,,38001096,Other vascular procedures w/o CC/MCC
OTITIS MEDIA & UPPER RESPIRATORY INFECTION AGE 0-17,38000358,Otitis Media and Upper Respiratory Infection Age 0-17,38001005,Otitis media & URI w/o MCC
"OTITIS MEDIA & UPPER RESPIRATORY INFECTION AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000356,"Otitis Media and Upper Respiratory Infection Age >17 with Complications, Comorbidities",38001005,Otitis media & URI w/o MCC
"OTITIS MEDIA & UPPER RESPIRATORY INFECTION AGE > 17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000357,"Otitis Media and Upper Respiratory Infection Age > 17 without Complications, Comorbidities",38001005,Otitis media & URI w/o MCC
OTITIS MEDIA & URI W MCC,0,,38001004,Otitis media & URI w MCC
OTITIS MEDIA & URI W/O MCC,0,,38001005,Otitis media & URI w/o MCC
"PANCREAS, LIVER & SHUNT PROCEDURES W CC",0,,38001207,"Pancreas, liver & shunt procedures w CC"
"PANCREAS, LIVER & SHUNT PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000489,"Pancreas, Liver and Shunt Procedures with Complications, Comorbidities",38001206,"Pancreas, liver & shunt procedures w MCC"
"PANCREAS, LIVER & SHUNT PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES",38000490,"Pancreas, Liver and Shunt Procedures without Complications, Comorbidities",38001208,"Pancreas, liver & shunt procedures w/o CC/MCC"
"PANCREAS, LIVER & SHUNT PROCEDURES W MCC",0,,38001206,"Pancreas, liver & shunt procedures w MCC"
"PANCREAS, LIVER & SHUNT PROCEDURES W/O CC/MCC",0,,38001208,"Pancreas, liver & shunt procedures w/o CC/MCC"
Pancreas Transplant,0,,38000896,Pancreas transplant
PANCREAS TRANSPLANT,38000818,Pancreas Transplants,38000896,Pancreas transplant
PANCREAS TRANSPLANTS,38000818,Pancreas Transplants,38000896,Pancreas transplant
PARATHYROID PROCEDURES,38000587,Parathyroid Procedures,,
Partial Thickness Burns W Or W/O Skin Graft,0,,0,
PATHOLOGICAL FRACTURES & MUSCULOSKELETAL & CONNECTIVE TISSUE MALIGNANCY,38000537,Pathological Fractures and Musculoskeletal and Connective Tissue Malignancy,,
PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,0,,38001317,Pathological fractures & musculoskelet & conn tiss malig w CC
PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,0,,38001316,Pathological fractures & musculoskelet & conn tiss malig w MCC
"PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W CC/MCC",0,,38001460,"Pelvic evisceration, rad hysterectomy & rad vulvectomy w CC/MCC"
"Pelvic Evisceration, Radical Hysterectectomy & Radical GYN Procs",0,,0,
"PELVIC EVISCERATION, RADICAL HYSTERECTOMY & RADICAL VULVECTOMY",38000651,"Pelvic Evisceration, Radical Hysterectomy and Radical Vulvectomy",,
Penis Procedures,38000639,Penis Procedures,,
PENIS PROCEDURES,38000639,Penis Procedures,,
PENIS PROCEDURES W CC/MCC,0,,38001441,Penis procedures w CC/MCC
Peptic Ulcer & Gastritis,0,,0,
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,0,,38001086,Perc cardiovasc proc w drug-eluting stent w MCC or 4+ vessels/stents
PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,0,,38001087,Perc cardiovasc proc w drug-eluting stent w/o MCC
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W MCC OR 4+ VES/STENTS,0,,38001088,Perc cardiovasc proc w non-drug-eluting stent w MCC or 4+ ves/stents
PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,0,,38001089,Perc cardiovasc proc w non-drug-eluting stent w/o MCC
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W MCC,0,,38001091,Perc cardiovasc proc w/o coronary artery stent w MCC
PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,0,,38001093,Perc cardiovasc proc w/o coronary artery stent w/o MCC
PERCUTANEOUS CARDIOVASCULAR PROCEDURES,38000405,Percutaneous Cardiovascular Procedures,,
Percutaneous Cardiovascular Procedures w/ AMI,38000821,Percutaneous Cardiovascular Procedures with Acute Myocardial Infarction,,
PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH ACUTE MYOCARDIAL INFARCTION,38000821,Percutaneous Cardiovascular Procedures with Acute Myocardial Infarction,,
"PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT ACUTE MYOCARDIAL INFARCTION, WITH CORONARY ARTERY STENT IMPLANT",38000822,"Percutaneous Cardiovascular Procedures without Acute Myocardial Infarction, with Coronary Artery Stent Implant",,
"PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT ACUTE MYOCARDIAL INFARCTION, WITHOUT CORONARY ARTERY STENT IMPLANT",38000823,"Percutaneous Cardiovascular Procedures without Acute Myocardial Infarction, without Coronary Artery Stent Implant",38001093,Perc cardiovasc proc w/o coronary artery stent w/o MCC
PERCUTANEOUS CARDIOVASCULAR PROCEDURE WITH DRUG-ELUDING STENT WITH ACUTE MYOCARDIAL INFARCTION,38000832,Percutaneous Cardiovascular Procedure with Drug-Eluding Stent with Acute Myocardial Infarction,,
PERCUTANEOUS CARDIOVASCULAR PROCEDURE WITH DRUG-ELUDING STENT WITHOUT ACUTE MYOCARDIAL INFARCTION,38000833,Percutaneous Cardiovascular Procedure with Drug-Eluding Stent without Acute Myocardial Infarction,,
PERCUTANEOUS CARDIOVASCULAR PROCEDURE WITH MCV DIAGNOSIS,38000862,Percutaneous Cardiovascular Procedure with Mcv Diagnosis,38001088,Perc cardiovasc proc w non-drug-eluting stent w MCC or 4+ ves/stents
PERCUTANEOUS CARDIOVASCULAR PROCEDURE WITH NON DRUG-ELUTING STENT WITH MCV DIAGNOSIS,38000864,Percutaneous Cardiovascular Procedure with Non Drug-Eluting Stent with Mcv Diagnosis,38001086,Perc cardiovasc proc w drug-eluting stent w MCC or 4+ vessels/stents
PERCUTANEOUS CARDIOVASCULAR PROCEDURE WITH NON DRUG-ELUTING STENT WITHOUT MCV DIAGNOSIS,38000863,Percutaneous Cardiovascular Procedure with Non Drug-Eluting Stent without Mcv Diagnosis,38001089,Perc cardiovasc proc w non-drug-eluting stent w/o MCC
Percutaneous Cardiovascular Procedures w/o AMI,0,,0,
PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,0,,38000923,Periph/cranial nerve & other nerv syst proc w CC or periph neurostim
PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,0,,38000922,Periph/cranial nerve & other nerv syst proc w MCC
PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,0,,38000924,Periph/cranial nerve & other nerv syst proc w/o CC/MCC
"Peripheral, Cranial & Autonomic Nerve Disorders",0,,0,
"PERIPHERAL & CRANIAL NERVE & OTHER NERVE SYSTEM PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000291,"Peripheral and Cranial Nerve and Other Nerve System Procedures with Complications, Comorbidities",38000923,Periph/cranial nerve & other nerv syst proc w CC or periph neurostim
"PERIPHERAL & CRANIAL NERVE & OTHER NERVE SYSTEM PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES",38000292,"Peripheral and Cranial Nerve and Other Nerve System Procedures without Complications, Comorbidities",38000924,Periph/cranial nerve & other nerv syst proc w/o CC/MCC
Peripheral & Other Vascular Disorders,0,,0,
PERIPHERAL VASCULAR DISORDERS W CC,0,,38001128,Peripheral vascular disorders w CC
"PERIPHERAL, VASCULAR DISORDERS WITH COMPLICATIONS, COMORBIDITIES",38000428,"Peripheral, Vascular Disorders with Complications, Comorbidities",38001127,Peripheral vascular disorders w MCC
"PERIPHERAL VASCULAR DISORDERS WITHOUT COMPLICATIONS, COMORBIDITIES",38000429,"Peripheral Vascular Disorders without Complications, Comorbidities",38001129,Peripheral vascular disorders w/o CC/MCC
PERIPHERAL VASCULAR DISORDERS W MCC,0,,38001127,Peripheral vascular disorders w MCC
PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,0,,38001129,Peripheral vascular disorders w/o CC/MCC
Peritoneal Adhesiolysis,0,,0,
PERITONEAL ADHESIOLYSIS W CC,0,,38001155,Peritoneal adhesiolysis w CC
"PERITONEAL ADHESIOLYSIS WITH COMPLICATIONS, COMORBIDITIES",38000448,"Peritoneal Adhesiolysis with Complications, Comorbidities",38001154,Peritoneal adhesiolysis w MCC
PERITONEAL ADHESIOLYSIS W MCC,0,,38001154,Peritoneal adhesiolysis w MCC
PERITONEAL ADHESIOLYSIS W/O CC/MCC,0,,38001156,Peritoneal adhesiolysis w/o CC/MCC
"Permanent Cardiac Pacemaker Implant w/ AMI, Heart Failure or Shock",0,,0,
PERMANENT CARDIAC PACEMAKER IMPLANT W CC,0,,38001083,Permanent cardiac pacemaker implant w CC
"PERMANENT CARDIAC PACEMAKER IMPLANT WITH ACUTE MYOCARDIAL INFARCTION, HEART FAILURE OR SHOCK, OR AICD LEAD OR GENERATOR PROC",38000409,"Permanent Cardiac Pacemaker Implant with Acute Myocardial Infarction, Heart Failure or Shock, or Aicd Lead or Generator Proc",,
PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCV DIAGNOSIS OR AICD LEAD OR GENERATOR,38000858,Permanent Cardiac Pacemaker Implant with Mcv Diagnosis or Aicd Lead or Generator,38001082,Permanent cardiac pacemaker implant w MCC
PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,0,,38001082,Permanent cardiac pacemaker implant w MCC
PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,0,,38001084,Permanent cardiac pacemaker implant w/o CC/MCC
"Perm Cardiac Pacemaker Implant w/o AMI, Heart Failure or Shock",0,,0,
Pituitary & Adrenal Procedures,0,,0,
PLEURAL EFFUSION W CC,0,,38001033,Pleural effusion w CC
"PLEURAL EFFUSION WITH COMPLICATIONS, COMORBIDITIES",38000373,"Pleural Effusion with Complications, Comorbidities",38001032,Pleural effusion w MCC
PLEURAL EFFUSION W MCC,0,,38001032,Pleural effusion w MCC
PLEURAL EFFUSION W/O CC/MCC,0,,38001034,Pleural effusion w/o CC/MCC
PNEUMOTHORAX W CC,0,,38001046,Pneumothorax w CC
"PNEUMOTHORAX WITH COMPLICATIONS, COMORBIDITIES",38000382,"Pneumothorax with Complications, Comorbidities",38001045,Pneumothorax w MCC
"PNEUMOTHORAX WITHOUT COMPLICATIONS, COMORBIDITIES",38000383,"Pneumothorax without Complications, Comorbidities",38001047,Pneumothorax w/o CC/MCC
PNEUMOTHORAX W MCC,0,,38001045,Pneumothorax w MCC
PNEUMOTHORAX W/O CC/MCC,0,,38001047,Pneumothorax w/o CC/MCC
Poisoning Of Medicinal Agents,0,,0,
POISONING & TOXIC EFFECTS OF DRUGS AGE 0-17,38000749,Poisoning and Toxic Effects of Drugs Age 0-17,,
"POISONING & TOXIC EFFECTS OF DRUGS AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000747,"Poisoning and Toxic Effects of Drugs Age >17 with Complications, Comorbidities",,
"POISONING & TOXIC EFFECTS OF DRUGS AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000748,"Poisoning and Toxic Effects of Drugs Age >17 without Complications, Comorbidities",,
POISONING & TOXIC EFFECTS OF DRUGS W MCC,0,,38001592,Poisoning & toxic effects of drugs w MCC
POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,0,,38001593,Poisoning & toxic effects of drugs w/o MCC
POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W OR PROCEDURE,38000886,Postoperative or Post-Traumatic Infections with O.R. Procedure,,
POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,0,,38001553,Postoperative or post-traumatic infections w O.R. proc w CC
POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,0,,38001552,Postoperative or post-traumatic infections w O.R. proc w MCC
POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W/O CC/MCC,0,,38001554,Postoperative or post-traumatic infections w O.R. proc w/o CC/MCC
POSTOPERATIVE & POST-TRAUMATIC INFECTIONS,38000716,Postoperative and Post-Traumatic Infections,,
POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,0,,38001555,Postoperative & post-traumatic infections w MCC
POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,0,,38001556,Postoperative & post-traumatic infections w/o MCC
"Post-Operative, Post-Traumatic, Other Device Infections",0,,0,
"Post-Op,Post-Trauma, Other Device Infections W O.R. Procedure",0,,0,
POSTPARTUM & POST ABORTION DIAGNOSES WITH OPERATING ROOM PROCEDURE,38000675,Postpartum and Post Abortion Diagnoses with Operating Room Procedure,,
POSTPARTUM & POST ABORTION DIAGNOSES WITHOUT OPERATING ROOM PROCEDURE,38000674,Postpartum and Post Abortion Diagnoses without Operating Room Procedure,,
POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,0,,38001493,Postpartum & post abortion diagnoses w/o O.R. procedure
Postpartum & Post Abortion Diagnoses w/o Procedure,0,,38001489,Postpartum & post abortion diagnoses w O.R. procedure
POSTPARTUM & POST ABORTION DIAGNOSES W O.R. PROCEDURE,0,,38001489,Postpartum & post abortion diagnoses w O.R. procedure
PREMATURITY WITH MAJOR PROBLEMS,38000685,Prematurity with Major Problems,,
PREMATURITY WITHOUT MAJOR PROBLEMS,38000686,Prematurity without Major Problems,,
PREMATURITY W MAJOR PROBLEMS,0,,38001502,Prematurity w major problems
PREMATURITY W/O MAJOR PROBLEMS,0,,38001503,Prematurity w/o major problems
Procedures for Obesity,0,,0,
"Procedure W Diag Of Rehab, Aftercare Or Oth Contact W Health Service",0,,0,
PROSTATIC OPERATING ROOM PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS,38000773,Prostatic Operating Room Procedure Unrelated To Principal Diagnosis,,
PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,0,,38001632,Prostatic O.R. procedure unrelated to principal diagnosis w MCC
PSYCHOSES,38000729,Psychoses,38001572,Psychoses
Pulmonary Edema & Respiratory Failure,38000375,Pulmonary Edema and Respiratory Failure,38001035,Pulmonary edema & respiratory failure
